timestamp,vip_queue_size,standard_queue_size,cpu_usage,memory_usage,throughput,equity_ratio
1748382967.552193,0,0,0.0,0.0,0.0,1.0
1748382968.557782,0,0,7.066573885430856,16.607097758422583,0.0,1.0
1748382969.5717807,0,0,11.680301416122248,35.24736353428494,0.0,1.0
1748382970.5785372,0,0,8.252544847029014,30.158752725857525,0.4,1.0
1748382971.5942147,0,0,21.704548585739758,27.60992142127604,1.0,0.8650854579113154
1748382972.6080928,1,0,28.01453519917061,35.87343829209716,1.0,0.8650854579113154
1748382973.6164877,0,0,18.947976830557224,28.20616813547265,1.6,0.7855006526089627
1748382974.637477,0,0,15.128426942487849,23.270020702684235,2.2,0.9729262323563753
1748382975.6950538,0,0,20.80909647758297,30.315923482740743,1.8,0.9270973362030746
1748382976.706358,0,0,20.789018169449363,36.30316633602114,1.8,0.8972745544632662
1748382977.7121153,0,0,16.55277920091406,41.72174832274839,2.2,0.9634134509884362
1748382978.7255752,0,0,24.478536636162644,37.03722082189917,2.0,1.1931704607438427
1748382979.7291539,0,0,17.31746306983669,21.36005420529102,2.0,1.1942658577839629
1748382980.7732012,0,0,23.591226321061,24.116463124598752,2.0,1.2225288860387518
1748382981.7884908,0,1,20.37783526965204,20.729992729531233,2.0,1.727063221183317
1748382982.802311,0,1,18.506780396417255,23.019326880610606,2.2,1.429382019616597
1748382983.8169355,0,0,21.782276534349478,25.287677727197718,2.0,1.7756967109689337
1748382984.8291583,0,0,22.550018968127702,31.098586957860803,1.6,1.259698106350972
1748382985.8410199,0,0,25.260676742176386,34.46928951166571,2.0,1.1327233313777207
1748382986.8457825,0,0,16.273847213703732,24.76047241994719,2.0,1.3375129411952962
1748382987.8600793,0,0,12.364489226897916,26.94782089002446,1.8,1.4575580084187363
1748382988.8736978,0,0,24.149773884505777,37.30357184327275,1.6,1.4744212426677576
1748382989.876125,0,0,22.03951857926984,33.68840793026018,2.2,1.165576446830944
1748382990.8815937,0,1,2.047914838151783,9.308486434576281,2.6,1.084790744411492
1748382991.900915,0,0,9.048359686168126,33.27226330626425,2.2,0.9389092033263835
1748382992.909343,0,0,18.3487008091048,32.60400221196625,2.2,0.8171432060293191
1748382993.9178739,0,0,17.741664570021783,22.363371940124182,2.0,0.9175330608376921
1748382994.9228487,0,0,19.63280047654449,22.72083136003468,2.0,1.7578120933102523
1748382995.9260838,0,1,24.010358165295713,30.987739022942705,1.4,2.5994889140215593
1748382996.943587,0,0,17.723903602234003,30.705379446089182,2.2,1.2341832466293932
1748382997.9466608,0,0,11.818494226227457,21.1692933401893,2.2,1.31192658526311
1748382998.9608414,0,5,41.26829147109767,56.64954654799515,2.4,1.1844985121398652
1748382999.975481,1,8,56.193548685951455,86.61923093869589,2.8,1.1508430990560188
1748383000.9904652,0,17,52.88494536306095,87.37780634459978,3.2,1.1484369156843828
1748383002.0017228,0,21,52.820427554858426,45.03611113964542,5.2,1.665338274478854
1748383003.0169942,0,27,53.27038163066971,76.6926386497125,6.2,1.7700460127068136
1748383004.0325549,1,31,78.41588176551699,98.37119028936758,6.4,1.9119685397022106
1748383005.0429506,0,37,53.46114655196588,71.40357070011413,8.2,2.2526008740008616
1748383006.060208,0,45,57.379546494537955,83.58410391958229,8.0,2.435484979582718
1748383007.075841,2,49,55.71005991434197,78.0974024988945,6.6,2.631686189518365
1748383008.11209,1,56,60.45310140435932,88.73854111254715,6.6,2.69552254227434
1748383009.1234465,0,63,47.93091539854169,81.07090721334116,7.6,3.1871398069410386
1748383010.1364696,0,69,46.25816866738367,94.56857209657117,6.2,3.584824694700573
1748383011.160401,0,75,46.07487711361772,83.09943839172777,6.6,3.9321274030706617
1748383012.1665163,0,80,37.260872866039676,89.82187672738937,6.8,4.19170542920666
1748383013.173166,0,86,38.73680912738574,96.8189668533202,6.8,5.07797174718766
1748383014.1841345,0,92,53.94199910414979,86.78130846983841,6.0,4.988699798217176
1748383015.2010822,1,97,78.59303646140772,97.31789506963312,6.0,5.5735538549104895
1748383016.217113,1,103,56.50199084537165,88.69927526500089,6.4,6.2276406766288845
1748383017.2308133,1,113,32.66576478801318,82.61942078663691,6.0,6.672396164959208
1748383018.2480865,0,120,37.92220589790365,89.406017930409,6.0,6.706009884469063
1748383019.2606099,1,124,59.542199706923576,73.76745951241942,6.0,7.164637652698798
1748383020.285776,2,129,59.740946634440014,89.61275041372886,6.0,7.094869430637325
1748383021.2946362,0,138,48.66575014273396,91.02136084720856,6.0,7.518921356067618
1748383022.3068051,0,143,32.36497512595693,82.55997304531988,5.8,7.985000187595126
1748383023.312772,0,148,51.04292470619322,89.35992720397007,6.2,8.482493365037474
1748383024.3255174,0,153,50.469476903354696,88.85584052348531,6.2,9.103295434567624
1748383025.3467777,0,160,53.72434553953972,81.68626990944675,7.2,9.597852253660252
1748383026.3634117,3,163,51.77594662232097,78.34941614173951,7.0,9.891861627353508
1748383027.369509,1,172,39.38172017119099,68.11438463111159,7.6,10.291941291245045
1748383028.3886542,0,170,47.90292655209605,79.07082189585859,7.4,10.111224053287101
1748383029.4100506,0,164,58.37819406637342,82.15573602263493,7.4,9.899771784193103
1748383030.435288,0,161,55.158454173715675,83.78889706044563,6.8,9.797209959392566
1748383031.464727,0,156,43.28504852494574,55.01058572749903,7.6,10.096976927971673
1748383032.4800735,0,150,47.996397895604865,86.83208858281786,6.8,9.140687860658108
1748383033.489421,0,145,53.568453500981605,85.95157000263069,6.6,8.54601242019266
1748383034.509039,0,141,59.79719640427749,98.86296225617498,6.2,9.20027485947845
1748383035.5199752,0,138,39.587213700117665,81.8595595273438,6.6,11.852224385659369
1748383036.5316331,0,134,43.803168843631305,99.91026935122187,5.6,9.080863042010908
1748383037.54803,0,131,35.93567601549914,57.465780887551716,6.2,9.218694300625298
1748383038.5656774,0,125,47.33124777927824,93.65358674761224,6.2,8.697235287263169
1748383039.5788393,0,122,49.6706180916988,83.86209972023536,6.4,8.809660397157801
1748383040.5900347,0,117,61.10654310096944,83.4683617698647,6.0,9.016922641067385
1748383041.605847,0,112,50.092323483508935,81.8557120886859,6.8,8.487288400770021
1748383042.6376405,1,108,50.82108687816973,82.18780757979692,6.2,8.597032351140063
1748383043.645638,0,104,51.21525662966417,84.46402534608845,5.6,1.0
1748383044.656931,0,103,47.36211082313105,90.87202519215326,5.8,1.0
1748383045.6758087,0,97,56.944040492683634,95.42809510372504,6.2,9.725148567965935
1748383046.6942625,0,93,70.74474022166122,76.99878159891281,5.6,9.934393363386638
1748383047.703463,0,86,78.07959870136827,83.98756358234948,6.2,9.971046270688904
1748383048.71516,0,83,70.86265589788846,90.68768874408092,6.2,10.030435921735654
1748383049.7296562,0,78,41.58621197041891,73.63402984831453,7.4,10.22220431231449
1748383050.7459478,0,73,51.44203757608608,88.57560302209785,6.8,11.91056630166507
1748383051.7543693,0,70,49.43645262745907,94.36534936016346,6.4,15.97089325045686
1748383052.7785482,0,66,54.28863797974355,70.58226338075156,6.8,13.587224216881431
1748383053.7857614,1,61,65.20378710741262,98.78903973957362,6.4,13.683671131908673
1748383054.814739,0,58,39.67965550683794,67.01262294423428,6.0,14.154333550554323
1748383055.8286324,0,52,64.35374040146327,86.04173826291924,6.0,14.337348725426246
1748383056.839314,1,47,67.79678649647323,91.86191577333246,6.0,12.5066033570672
1748383057.850859,0,44,47.35888228933777,97.05439812830721,5.8,14.388578080447475
1748383058.8626823,0,37,42.672467098462704,76.48838935467576,7.4,15.614204356975113
1748383059.88229,0,30,61.170062009857325,80.88641931197387,6.8,16.618938519646665
1748383060.8847995,0,24,87.0820675922298,96.3333403914718,6.8,16.97736446347535
1748383061.894288,0,22,56.55515724395808,69.48725318460946,7.6,17.32157096914897
1748383062.9100058,0,15,62.81215322815596,85.27659065199995,7.4,16.452870996851672
1748383063.918727,1,9,62.357514884759375,98.94567395400914,6.8,12.498491835087076
1748383064.9300869,0,5,48.09540635309376,96.32477255161278,7.0,9.175258464640486
1748383065.9459312,0,1,48.140140377920474,81.30252778458065,7.8,9.322158576039856
1748383066.9608576,0,0,36.079818227335835,69.95690552478736,7.0,8.642624567169964
1748383067.9796004,0,0,18.59078605805898,42.88785723473203,6.2,7.278280829215147
1748383068.9910302,0,0,10.92966539935928,24.938900545525016,5.8,5.730264159801841
1748383070.0050364,0,0,13.437906758545509,31.65930219807403,4.2,3.091303670683743
1748383071.008822,0,0,14.525123874587791,34.81595043354574,3.4,1.706616522096821
1748383072.0246732,0,0,15.792864935079791,38.51560539553923,2.8,1.2295382778307766
1748383073.047036,0,0,15.906865773956156,27.98239263627964,2.4,1.0435379995574987
1748383074.0658045,0,0,13.298758855077864,15.90049014774442,2.0,0.9455458716887181
1748383075.073131,0,0,13.596155961970894,19.70205374997154,2.0,1.199718967130079
1748383076.084092,0,0,8.386250581409143,15.075947122622878,2.2,1.101846114612401
1748383077.0995667,0,0,14.52086849878664,26.087931284471438,2.0,1.2701671018805287
1748383078.1060119,0,0,9.727565700383664,10.550313119684134,2.0,1.0961502180545828
1748383079.1219404,0,0,18.529603108089034,22.959155210891524,1.8,1.5657200504029796
1748383080.1430223,0,0,15.416211036953285,25.50058734291663,2.0,1.9498223627549214
1748383081.1536267,0,0,10.136307311243684,15.432958196733907,1.8,1.9466310876042725
1748383082.1680753,0,0,15.39505243951966,26.963285505324407,1.8,1.7009193628793304
1748383083.1850128,0,0,18.313703908636796,24.36777023135312,1.6,1.776385938234529
1748383084.2019937,0,0,11.49023136230231,23.31459625059057,2.0,1.949193814730038
1748383085.2173026,1,0,9.748655397074543,10.81041215912559,2.0,1.8624478011876027
1748383086.2255216,0,1,5.594776818531102,9.07254950398027,2.2,2.4773808277729787
